Agency,Account,State,Recipient,Project, Amount ,Requested by,Requested by 2
Department of Justice,OJP Byrne, TX,Harris County Constable Precinct 7,Urban Area Security Initiatives,"$500,000 ",Green (TX),
Department of Justice,OJP Byrne, TX,Harris County Public Health,Crime Prevention and Education Program Expansion,"$1,031,000 ",Green (TX),
Department of Justice,OJP Byrne, TX,Healthcare for the Homeless Houston,Advancing Public Safety Through Health and Reentry Services,"$452,000 ",Green (TX),
Department of Justice,OJP Byrne, GA,Murray County Sheriff’s Office,Murray County Public Safety Improvement Project,"$317,500 ",Greene,
Department of Justice,OJP Byrne, GA,Floyd County Board of Commissioners,Renovation of Law Enforcement Building into Judicial Annex,"$679,000 ",Greene,
Department of Justice,OJP Byrne, KY,Barren County Sheriff’s Department,Barren County Sheriff’s Technology Improvements,"$470,617 ",Guthrie,
Department of Justice,OJP Byrne, KY,Daviess County Sheriff’s Office,Daviess County Sheriff’s Office Community Response and Safeguard Initiative,"$796,528 ",Guthrie,
Department of Justice,OJP Byrne, WY,City of Casper,Police Fleet Vehicle Replacement,"$828,000 ",Hageman,
Department of Justice,OJP Byrne, AZ,Arizona State University,Veterans Legal Services Hub,"$500,000 ",Hamadeh,
Department of Justice,OJP Byrne, AZ,City of Surprise,Police Cruisers,"$999,000 ",Hamadeh,
Department of Justice,OJP Byrne, AZ,City of Glendale,Police Radio Equipment Upgrades,"$1,000,000 ",Hamadeh,
Department of Justice,OJP Byrne, AZ,City of Peoria,Police Helicopter,"$2,850,000 ",Hamadeh,
Department of Justice,OJP Byrne, CA,San Joaquin County Sheriff’s Office,San Joaquin County’s Sheriff’s Office Hi-Tech Detectives Unit Expansion Program,"$1,031,000 ",Harder,
Department of Justice,OJP Byrne, CA,Tracy Police Department,Tracy’s Public Safety Rapid Response Program,"$955,000 ",Harder,
Department of Justice,OJP Byrne, FL,Brevard County Sheriff’s Office,Brevard County Sheriff’s Office Aviation Unit Modernization Initiative,"$500,000 ",Haridopolos,
Department of Justice,OJP Byrne, TN,Johnson City Police Department,Johnson City Police Department Cruiser and Equipment Upgrades,"$707,212 ",Harshbarger,
Department of Justice,OJP Byrne, CT,City of Danbury,"Public Safety Capacity, Technology, and Training Improvement Program","$700,000 ",Hayes,
Department of Justice,OJP Byrne, CT,Police Activity League of Waterbury Inc.,Waterbury Police Activity League,"$175,000 ",Hayes,
Department of Justice,OJP Byrne, CT,Western Connecticut Council of Governments,Western Connecticut Training Facility Equipment and Technology,"$951,000 ",Hayes,
Department of Justice,OJP Byrne, PR,Municipality of Cabo Rojo,Municipality of Cabo Rojo’s Public Safety Police Vehicles,"$112,000 ",Hernandez,
Department of Justice,OJP Byrne, PR,Municipality of Juana Diaz,Municipality of Juana Dı´az’s ‘‘Virtual Security 360’’ Public security program,"$514,000 ",Hernandez,
Department of Justice,OJP Byrne, CT,City of Stamford,Public Safety Complex Design,"$1,031,000 ",Himes,
Department of Justice,OJP Byrne, PA,Connections Work,Reentry Works,"$800,000 ",Houlahan,
Department of Justice,OJP Byrne, PA,Kennett Square Police Department,Force De-Escalation Initiative,"$100,000 ",Houlahan,
Department of Justice,OJP Byrne, PA,"Valley Township, Chester County","Public Safety in Valley Township: Preemption System, Emitters, and License Plate Readers","$71,000 ",Houlahan,
Department of Justice,OJP Byrne, MD,Charles County Sheriff’s Office,Digital Forensics Unit Upgrade,"$534,000 ",Hoyer,
Department of Justice,OJP Byrne, MD,MedStar St. Mary’s Hospital,Workplace Violence Prevention Initiative,"$975,000 ",Hoyer,
Department of Justice,OJP Byrne, MD,University of Maryland SAFE Center for Human Trafficking,"UMD Support, Advocacy, Freedom, and Empowerment Center for Human Trafficking Survivors","$700,000 ",Hoyer,
Department of Justice,OJP Byrne, OR,City of Cottage Grove,Enhancing Community Policing in Cottage Grove,"$800,000 ",Hoyle,
Department of Justice,OJP Byrne, OR,City of Springfield,Body-worn and In-car Video Systems Modernization,"$858,000 ",Hoyle,
Department of Justice,OJP Byrne, OR,Curry County,Improvements and Updates to Curry County Jail,"$1,031,000 ",Hoyle,
Department of Justice,OJP Byrne, TX,City of Houston Police Department,Houston Police Department Protecting Our Own Citywide Ballistic Helmet Initiative,"$875,000 ",Hunt,
Department of Justice,OJP Byrne, TX,City of Houston Police Department,Houston Police Department Grappler and In-Car Camera Initiative,"$1,555,000 ",Hunt,
Department of Justice,OJP Byrne, CO,City of Rifle,Garfield County Drug Testing Public Safety Initiative,"$400,770 ",Hurd,
Department of Justice,OJP Byrne, CO,Town of Manassa,Manassa Police Department Technology Improvement and Community Policing Project,"$573,500 ",Hurd,
Department of Justice,OJP Byrne, MD,Prince George’s County Boys & Girls Club,Boys & Girls Clubs Countywide Expansion and Crime Prevention Initiative in Prince George’s County,"$1,000,000 ",Ivey,
Department of Justice,OJP Byrne, MD,"Sheppard Pratt Health System, Inc.",Prince George’s County School-Based Violence Prevention Program,"$1,031,000 ",Ivey,
Department of Justice,OJP Byrne, MD,University of Maryland,University of Maryland PROGRESS Violence Reduction Research Initiative,"$975,000 ",Ivey,
Department of Justice,OJP Byrne, CA,University of San Diego,JusticeForward: Safer Students Workforce Initiative,"$927,000 ",Jacobs,
Department of Justice,OJP Byrne, CA,Youth Empowerment’s Finest,I.M.A.G.I.N.E. Afterschool Program,"$1,031,000 ",Jacobs,
Department of Justice,OJP Byrne, MI,Oakland County,Oakland County/Northern Border Patrol Helicopter,"$2,100,000 ",James,
Department of Justice,OJP Byrne, NY,Kings County District Attorneys Office,Kings County District Attorneys’ Office Project Restore,"$1,031,000 ",Jeffries,
Department of Justice,OJP Byrne, NY,Research Foundation of CUNY o/b/o John Jay College of Criminal Justice,Central Brooklyn Violence Prevention Collaborative,"$1,039,000 ",Jeffries,
Department of Justice,OJP Byrne, GA,Wellroot Family Services,Reaching Teens Georgia,"$300,000 ",Johnson (GA),
Department of Justice,OJP Byrne, OH,Lake County,Lake County Public Safety Center Technology Enhancements,"$4,200,000 ",Joyce (OH),
Department of Justice,OJP Byrne, PA,Allegheny Township,Police Car,"$60,145 ",Joyce (PA),
Department of Justice,OJP Byrne, PA,Borough of Shippensburg,Police Vehicle and Camera Equipment Upgrades,"$298,127 ",Joyce (PA),
Department of Justice,OJP Byrne, CA,Building Lives LLC,REBUILDING LIVES CURBING THE OPIOID CRISIS,"$1,031,000 ",Kamlager-Dove,
Department of Justice,OJP Byrne, NJ,Greenwich Township Police Department,"School Resource Officer Vehicle and Equipment for Greenwich Township, New Jersey","$97,607 ",Kean,
Department of Justice,OJP Byrne, NJ,Bernards Township,Bernards Township Police Department Communications Upgrade,"$835,000 ",Kean,
Department of Justice,OJP Byrne, MA,Nantucket Police Department,Nantucket Police Department Vessel,"$350,000 ",Keating,
Department of Justice,OJP Byrne, MA,New Bedford Police Department,New Bedford Police Vessel,"$1,031,000 ",Keating,
Department of Justice,OJP Byrne, IL,By The Hand Club For Kids,Altgeld Gardens Youth Entrepreneurship Accountability and Empowerment Program,"$1,000,000 ",Kelly (IL),
Department of Justice,OJP Byrne, IL,Cook County Southland Juvenile Justice Council,Southland Juvenile Justice Council Violence and Truancy Prevention Program,"$1,000,000 ",Kelly (IL),
Department of Justice,OJP Byrne, MS,Alcorn County Sheriff’s Office,Alcorn County Sheriff’s Department: Project Technological Leap Program,"$1,000,000 ",Kelly (MS),
Department of Justice,OJP Byrne, MS,"City of Saltillo, MS",City of Saltillo Public Safety Project,"$1,000,000 ",Kelly (MS),
Department of Justice,OJP Byrne, MS,Desoto County Sheriff’s Office,DeSoto County Sheriff’s Police Modernization Project,"$1,000,000 ",Kelly (MS),
Department of Justice,OJP Byrne, MS,Lee County Sheriff’s Department,"Lee County, MS In-Car Video/Automated License Plate Reader Modernization","$2,000,000 ",Kelly (MS),
Department of Justice,OJP Byrne, MS,Prentiss County Sheriff’s Department,"Prentiss County, MS Sheriff’s Department Equipment Upgrade Project","$1,000,000 ",Kelly (MS),
Department of Justice,OJP Byrne,MS,Tishomingo County Sheriff’s Office,"Tishomingo County, MS Sheriff’s Office Transportation & Technology Enhancement","$1,000,000 ",Kelly (MS),
Department of Justice,OJP Byrne, MS,Tupelo Police Department,"Tupelo, MS Tupelo Police Department Technology Modernization","$1,000,000 ",Kelly (MS),
Department of Justice,OJP Byrne, NY,City of Buffalo,Enhancing Public Safety in Buffalo’s Entertainment & Theater District,"$894,000 ",Kennedy (NY),
Department of Justice,OJP Byrne, UT,Summit County,Behavioral Health Unit in the Summit County Jail,"$1,500,000 ",Kennedy (UT),
Department of Justice,OJP Byrne,UT,City of Cottonwood Heights,Wasatch Front Regional Public Safety Firearms Training Facility,"$2,100,000 ",Kennedy (UT),
Department of Justice,OJP Byrne,CA,County of Santa Clara,SAFE Program Enhancement,"$175,000 ",Khanna,
Department of Justice,OJP Byrne, NC,Town of Smithfield,Smithfield License Plate Camera Initiative,"$240,000 ",Knott,
Department of Justice,OJP Byrne, TN,University of Tennessee at Martin,University of Tennessee at Martin (UTM) Campus Security Improvements,"$938,000 ",Kustoff,
Department of Justice,OJP Byrne, NY,Southold Town Police Department,Southold Town Police Department Vehicle Acquisitions,"$871,701 ",LaLota,
Department of Justice,OJP Byrne, NY,Suffolk County Sheriff,Suffolk County Sheriff’s Office Fleet Enhancement Program,"$1,200,000 ",LaLota,
Department of Justice,OJP Byrne, NY,Suffolk County Police Department,Suffolk County Police Department Vehicle Fleet Acquisitions,"$2,266,857 ",LaLota,
Department of Justice,OJP Byrne, CA,Siskiyou County Sheriff’s Office,DNA Testing Equipment,"$302,899 ",LaMalfa,
Department of Justice,OJP Byrne, CA,Modoc County Sheriff’s Office,Modoc County Sheriff’s Office Public Safety Radio Communications Enhancement Project,"$350,000 ",LaMalfa,
Department of Justice,OJP Byrne, CA,City of Yuba City/Yuba City Police Department,Yuba City Police Interoperability and Encryption Radio Communications Project,"$442,124 ",LaMalfa,
Department of Justice,OJP Byrne,CA,Tehama County Sheriff’s Office,Emergency Radio Communications Infrastructure Improvements,"$550,000 ",LaMalfa,
Department of Justice,OJP Byrne, OH,Cincinnati Police Department,Mental Health Response Team and Camera Technology Project,"$1,039,000 ",Landsman,
Department of Justice,OJP Byrne, NY,Erie County Sheriff’s Office,Police Search and Rescue Helicopter Procurement,"$4,200,000 ",Langworthy,
Department of Justice,OJP Byrne, CT,Mothers United Against Violence,Victim Impact,"$500,000 ",Larson,
Department of Justice,OJP Byrne, CT,"Our Piece of the Pie, Inc. (OPP)",Hartford Juvenile Justice and Crime Prevention Project,"$550,000 ",Larson,
Department of Justice,OJP Byrne, NY,The Children’s Village,Children’s Village Youth Violence Prevention & Deterrence Initiative,"$450,000 ",Latimer,
Department of Justice,OJP Byrne, OH,Seneca County Board of Commissioners,Seneca County Board of Commissioners: Law Enforcement Training and Equipment for Seneca County and North West Ohio,"$450,000 ",Latta,
Department of Justice,OJP Byrne, NY,Rockland County Sheriff’s Office,Rockland County Public Safety & Crime Prevention Initiative,"$4,200,000 ",Lawler,
Department of Justice,OJP Byrne, NV,Las Vegas Metropolitan Police Department,Las Vegas Metropolitan Police Department Air Support Equipment Enhancement,"$1,031,000 ",Lee (NV),
Department of Justice,OJP Byrne, NV,Nevada State Police,Virtual Reality Law Enforcement Training,"$360,000 ",Lee (NV);,
Department of Justice,OJP Byrne, PA,Youth Advocate Program,Juvenile Justice Prevention Project,"$350,000 ",Lee (PA),
Department of Justice,OJP Byrne, NM,City of Gallup Police Department,"Gallup, NM Police Department Virtual Reality Training","$320,000 ",Leger Fernandez,
Department of Justice,OJP Byrne, LA,"Red River Delta Law Enforcement Planning Council, Inc.",Law Enforcement Equipment Modernization Project,"$1,319,700 ",Letlow,
Department of Justice,OJP Byrne, LA,"Capital District Law Enforcement Planning Council, Inc.",Police Cruiser Modernization Project,"$1,400,000 ",Letlow,
Department of Justice,OJP Byrne, CA,Encompass Community Services,Encompass Addiction Treatment Expansion,"$900,000 ",Lofgren,
Department of Justice,OJP Byrne, TX,United Against Human Trafficking,Mobile Crisis Response and Law Enforcement Partnership Initiative,"$520,745 ",Luttrell,
Department of Justice,OJP Byrne, TX,Sam Houston State University,"Cyber Defense, Rapid Response and Training Project","$2,515,000 ",Luttrell,
Department of Justice,OJP Byrne, MA,Suffolk County Sheriff’s Department,Suffolk County Sheriff’s Department Project Engage: Public Safety Through Public Health,"$1,031,000 ",Lynch,
Department of Justice,OJP Byrne, NY,New York City Police Department,License Plate Reader Systems,"$180,000 ",Malliotakis,
Department of Justice,OJP Byrne, NY,New York City Department of Corrections,Safety and Security Equipment Upgrades,"$359,421 ",Malliotakis,
Department of Justice,OJP Byrne,UT,Sevier County Sheriff’s Office,Central Utah Multi-County Public Safety Equipment and Technologies Project,"$1,125,000 ",Maloy,
Department of Justice,OJP Byrne, UT,Garfield County,Southwest Utah Cooperative Law Enforcement Project,"$1,892,000 ",Maloy,
Department of Justice,OJP Byrne, NY,City of Syracuse Police Department,SPD Mobile Command Unit,"$1,031,000 ",Mannion,
Department of Justice,OJP Byrne, NY,Onondaga County Sheriff’s Office,Onondaga County Sheriff’s Office Mobile Command Unit,"$1,031,000 ",Mannion,
Department of Justice,OJP Byrne, FL,Martin County Sheriff’s Office,Martin County Sheriff’s Organization,"$460,000 ",Mast,
Department of Justice,OJP Byrne, FL,City of Fort Pierce,Policing Equipment and Technology Upgrades,"$431,240 ",Mast,
Department of Justice,OJP Byrne, FL,Boys & Girls Clubs of Martin County,Boys & Girls Clubs of Martin County Workforce Programs,"$785,000 ",Mast,
Department of Justice,OJP Byrne, FL,Indian River State College,Law Enforcement Ballistics Innovation and Testing Center at Indian River State College,"$900,000 ",Mast,
Department of Justice,OJP Byrne,CA,Sacramento County Sheriffs Office,Delta Environmental and Safety Project,"$1,031,000 ",Matsui,
Department of Justice,OJP Byrne, DE,Executive Office of the Governor of Delaware,Statewide Law Enforcement Training System Modernization,"$450,000 ",McBride,
Department of Justice,OJP Byrne, DE,La Red Health Center Inc,Improving Public Safety with a Rural Re-Entry Program,"$1,000,000 ",McBride,
Department of Justice,OJP Byrne, TX,Texas A&M Engineering Extension Service,Advanced Reality Based Patrol Skills Training Program,"$1,847,825 ",McCaul,
Department of Justice,OJP Byrne, TX,Texas A&M University System,Texas A&M University System Law Enforcement Training and Engagement Project,"$2,100,000 ",McCaul,
Department of Justice,OJP Byrne, MN,City of Saint Paul,CCTV Improvement Project,"$1,031,000 ",McCollum,
Department of Justice,OJP Byrne, MN,City of Saint Paul,Saint Paul Police Records Management System,"$1,031,000 ",McCollum,
Department of Justice,OJP Byrne, MN,City of Woodbury,Woodbury Police Records Management System,"$1,031,000 ",McCollum,
Department of Justice,OJP Byrne, MN,Finishing Trades Institute of the Upper Midwest,Recidivism Reduction through Workforce Participation,"$1,031,000 ",McCollum,
Department of Justice,OJP Byrne,MN,Washington County,Body-worn and Squad Car Cameras,"$1,031,000 ",McCollum,
Department of Justice,OJP Byrne, GA,Forsyth County,Forsyth County Sheriff’s Office Crisis Intervention Response Team Expansion,"$277,598 ",McCormick (GA),
Department of Justice,OJP Byrne, GA,Roswell Police Department,Roswell’s Real-Time Crime Center,"$1,000,000 ",McCormick (GA),
Department of Justice,OJP Byrne, MI,Michigan Department of State Police Third District Headquarters (Flint and Tri-City Posts),Promoting Community Safety in mid-Michigan,"$1,031,000 ",McDonald Rivet,
Department of Justice,OJP Byrne, MI,The City of Saginaw,HELP Community Violence Intervention Program,"$700,000 ",McDonald Rivet,
Department of Justice,OJP Byrne, NC,Guilford County,Surveillance Equipment and Technology Upgrades,"$484,532 ",McDowell,
Department of Justice,OJP Byrne, NC,Davidson County,Detention Center Door Replacement,"$1,837,500 ",McDowell,
Department of Justice,OJP Byrne, KY,Louisville-Jefferson County Metro Government,Louisville Metro Justice and Behavioral Health Project,"$970,000 ",McGarvey,
Department of Justice,OJP Byrne, MA,Stop It Now!,Stop It Now! Child Abuse Prevention Program,"$879,000 ",McGovern,
Department of Justice,OJP Byrne, NJ,Justice Innovation Inc.,Pathways to Responsibility: Strengthening Youth Outcomes in Newark,"$250,000 ",McIver,
Department of Justice,OJP Byrne, NJ,Seton Hall University Law School,Justice and Support for Victims of Violence and Prevention Program,"$627,000 ",McIver,
Department of Justice,OJP Byrne, NY,Police Athletic League (PAL),Crime Prevention Through Youth Development,"$1,000,000 ",Meeks,
Department of Justice,OJP Byrne, NY,King of Kings Foundation,STRONG Communities,"$1,031,000 ",Meng,
Department of Justice,OJP Byrne, NY,New York City Police Department,NYPD Queens Explorer Program,"$1,031,000 ",Meng,
Department of Justice,OJP Byrne, NY,NYC Department of Health and Mental Hygiene,The Right Response for NYC,"$1,031,000 ",Meng,
Department of Justice,OJP Byrne, NY,Queens County District Attorney’s Office,Upholding the Rule of Law and Preventing Wrongful Convictions Program,"$300,000 ",Meng,
Department of Justice,OJP Byrne, MD,B–360 Baltimore Inc.,Community Led Diversion Through Workforce and Skills Training,"$1,000,000 ",Mfume,
Department of Justice,OJP Byrne, MD,City of Baltimore,911 Diversion Expansion,"$1,031,000 ",Mfume,
Department of Justice,OJP Byrne, MD,Johns Hopkins University,JHU Safe Storage,"$245,000 ",Mfume,
Department of Justice,OJP Byrne, MD,National Center of Institutions and Alternatives Inc.,Career Empowerment for Second-Chance Baltimore Citizens,"$500,000 ",Mfume,
Department of Justice,OJP Byrne, MD,"PIVOT, Inc.",PIVOT Women’s Reentry & Workforce Development Program,"$500,000 ",Mfume,
Department of Justice,OJP Byrne, MD,"Roca, Inc.",Building Skills to Support Community Safety,"$1,031,000 ",Mfume,
Department of Justice,OJP Byrne, MD,Tendea Family Inc.,Tendea Family’s After School Patrol and Cadet Program,"$205,000 ",Mfume,
Department of Justice,OJP Byrne, MD,Center for Hope Inc.,Center for Hope Expansion of Trauma and Victim Services,"$800,000 ",Mfume;,
Department of Justice,OJP Byrne, MD,City of Baltimore,Group Violence Reduction Strategy Expansion,"$1,184,000 ",Mfume;,
Department of Justice,OJP Byrne, OH,City of Brecksville,Brecksville Police Department Equipment & Vehicle Replacement & Enhancement Project,"$638,414 ",Miller (OH),
Department of Justice,OJP Byrne, OH,"Independence, OH",Independence Police Department Vehicle Modernization,"$320,000 ",Miller (OH),
Department of Justice,OJP Byrne, WV,Fayette County Commission,Fayette County Sheriff’s Department Fleet Upgrade,"$340,000 ",Miller (WV),
Department of Justice,OJP Byrne, IA,City of Oskaloosa,"Oskaloosa, Iowa Safe City Project","$499,873 ",Miller-Meeks,
Department of Justice,OJP Byrne, FL,Seminole State College of Florida,Seminole State College of Florida Criminal Justice Simulator,"$350,000 ",Mills,
Department of Justice,OJP Byrne, FL,Seminole County Sheriff’s Office,Seminole County Sheriff’s Office Juvenile Mobile Crisis Program,"$400,000 ",Mills,
Department of Justice,OJP Byrne, FL,Oviedo Police Department,"Oviedo Police Technology, Training and Equipment","$500,000 ",Mills,
Department of Justice,OJP Byrne, FL,Paving The Way Foundation,"SMART Prevention Education Safe, Meaningful, Actionable, Relevant Training","$500,000 ",Mills,
Department of Justice,OJP Byrne, FL,"City of Altamonte Springs, Florida",Altamonte Springs Police Technology Upgrades,"$529,000 ",Mills,
Department of Justice,OJP Byrne, CA,Asian Americans Advancing Justice Southern California,Survivor and Family Empowerment (SAFE) Project,"$1,031,000 ",Min,
Department of Justice,OJP Byrne, NC,City of Gastonia Police Department,Gastonia Police Department Rapid DNA Program,"$629,127 ",Moore (NC),
Department of Justice,OJP Byrne, NC,North Carolina State Bureau of Investigation,North Carolina State Bureau of Investigation Robot Bomb Dogs,"$506,496 ",Moore (NC),
Department of Justice,OJP Byrne, NC,Town of Rutherfordton,Tri-City Law Enforcement Task Force,"$625,000 ",Moore (NC),
Department of Justice,OJP Byrne, WI,"Great Lakes Dryhootch, Inc.",Veterans PTSD Justice Involvement Prevention Support Application,"$133,000 ",Moore (WI),
Department of Justice,OJP Byrne, WI,Marquette University Police Department,Marquette University Police Department’s Near West Side Trauma Informed Intervention Program,"$1,031,000 ",Moore (WI),
Department of Justice,OJP Byrne, WI,"Word of Hope Ministries, Inc",Comprehensive Prevention and Education Program,"$300,000 ",Moore (WI),
Department of Justice,OJP Byrne, NY,"Christ for Kids Ministries, Inc","Job Training, Therapeutic Services, and Support for Survivors of Trafficking","$477,000 ",Morelle,
Department of Justice,OJP Byrne, NY,Coordinated Care Services Inc.,Rise Up Rochester: Safe Housing Violence Response Program,"$500,000 ",Morelle,
Department of Justice,OJP Byrne, NY,Lollypop Farm Humane Society of Greater Rochester,Humane Law Enforcement,"$344,000 ",Morelle,
Department of Justice,OJP Byrne, MN,City of Minnetonka,Minnetonka Police Records Management System,"$966,000 ",Morrison,
Department of Justice,OJP Byrne, MN,Hennepin Technical College Foundation,Hennepin Technical College Public Safety Cross-Functional Training Center,"$1,031,000 ",Morrison,
Department of Justice,OJP Byrne, MN,Maria Pew Family Foundation DBA Maria’s Voice,Domestic Violence Prevention Education Initiative,"$300,000 ",Morrison,
Department of Justice,OJP Byrne, FL,Broward Sheriff’s Office,School Safety Response Equipment and Training Enhancement,"$366,000 ",Moskowitz,
Department of Justice,OJP Byrne, GU,Guam Police Department,Tiyan/Barrigada (GU) Guam Police Department Patrol Vehicles,"$990,500 ",Moylan,
Department of Justice,OJP Byrne, GU,Guam Customs and Quarantine Agency,Tiyan (GU) Guam Customs and Quarantine Agency Inspection Equipment,"$1,025,000 ",Moylan,
Department of Justice,OJP Byrne, IN,City of Hobart Police Department,Body Worn Camera Project,"$488,000 ",Mrvan,
Department of Justice,OJP Byrne, IN,"Town of Chesterton, Indiana",Chesterton Police Department Virtual Reality Training System,"$85,000 ",Mrvan,
Department of Justice,OJP Byrne, IN,Town of Winfield,Winfield Police Department Body Worn Camera Project,"$70,000 ",Mrvan,
Department of Justice,OJP Byrne, NC,Onslow County Sherriff’s Office,Rapid DNA Program,"$682,553 ",Murphy,
Department of Justice,OJP Byrne, NY,Research Foundation of The City University of New York,Launching a Certification Course for Law Enforcement and Criminal Justice Personnel to Build Partnerships to Address Violent Crime,"$1,031,000 ",Nadler,
Department of Justice,OJP Byrne, TX,Big Brothers Big Sisters Lone Star,Big Brothers Big Sisters Lone Star,"$500,000 ",Nehls,
Department of Justice,OJP Byrne, TX,Child Advocates Ft. Bend County,Child Advocates of Ft. Bend County (CAFB),"$500,000 ",Nehls,
Department of Justice,OJP Byrne, TX,Ft. Bend County Women’s Center,Ft. Bend County Women’s Center,"$1,000,000 ",Nehls,
Department of Justice,OJP Byrne, NY,Elmcor Youth & Adult Activities Inc.,B.R.A.V.E. Response to Recent Youth Violence in Queens,"$100,000 ",Ocasio-Cortez,
Department of Justice,OJP Byrne, NY,Icahn School of Medicine at Mount Sinai,Sexual Assault and Violence Intervention Program (SAVI),"$500,000 ",Ocasio-Cortez,
Department of Justice,OJP Byrne, NY,"Thrive For Life Prison Project, Inc.",Bronx First Chance for Reentry Success,"$1,000,000 ",Ocasio-Cortez,
Department of Justice,OJP Byrne, MD,Loyola University Maryland,Forensics Science Program,"$965,000 ",Olszewski,
Department of Justice,OJP Byrne, MN,Generation Hope MN,The Justice Empowerment Initiative by Generation Hope,"$1,031,000 ",Omar,
Department of Justice,OJP Byrne, UT,Juab County Sheriff’s Office,Juab County Sheriff’s Office Law Enforcement Equipment Upgrade Project,"$394,149 ",Owens,
Department of Justice,OJP Byrne, UT,Unified Police Department of Greater Salt Lake,Unified Police Department Law Enforcement Equipment Upgrade Project,"$1,081,366 ",Owens,
Department of Justice,OJP Byrne, CA,"Bayview-Hunters Point Multipurpose Senior Services, Inc.",Senior Ex-Offender Program Community and Rehabilitation Center Expansion,"$900,000 ",Pelosi,
Department of Justice,OJP Byrne, CA,San Francisco Police Department,SFPD Patrol Vehicles,"$1,031,000 ",Pelosi,
Department of Justice,OJP Byrne, CO,Porchlight A Family Justice Center,Porchlight A Family Justice Center Expansion,"$849,000 ",Pettersen,
Department of Justice,OJP Byrne, ME,University of Maine School of Law,University of Maine School of Law Pilot Criminal Justice Clinic,"$1,000,000 ",Pingree,
Department of Justice,OJP Byrne,VI,Community Restore Inc.,Project Cultiv8te,"$141,000 ",Plaskett,
Department of Justice,OJP Byrne,VI,Family Resource Center Inc.,Family Resource Center Emergency Shelter and Victim Services Expansion Project,"$1,031,000 ",Plaskett,
Department of Justice,OJP Byrne, WI,Boys and Girls Clubs of Dane County,"Youth Crime Prevention, Education, and Awareness Project","$1,000,000 ",Pocan,
Department of Justice,OJP Byrne, WI,University of Wisconsin Madison,UW–Madison Criminal Justice Forensic Assistance Program,"$1,031,000 ",Pocan,
Department of Justice,OJP Byrne, NJ,Borough of East Rutherford,Public Safety Communications Equipment,"$350,000 ",Pou,
Department of Justice,OJP Byrne, MA,"BMA Ten Point, Inc.",BMA Ten Point Family Initiative,"$275,000 ",Pressley,
Department of Justice,OJP Byrne, MA,"Children’s Advocacy Center of Suffolk County, Inc.",Children’s Advocacy Center of Suffolk County Victim Support Improvements,"$1,031,000 ",Pressley,
Department of Justice,OJP Byrne, MA,"Justice For Housing, Inc.","Stable Housing & Reintegration Program, SHARP","$250,000 ",Pressley,
Department of Justice,OJP Byrne, MA,Louis D. Brown Peace Institute,Louis D. Brown Peace Institute Community Violence Intervention Program,"$1,031,000 ",Pressley,
Department of Justice,OJP Byrne, MA,The American City Coalition,Roxbury Worx,"$1,031,000 ",Pressley,
Department of Justice,OJP Byrne, MA,The Phoenix,Expansion of Recovery Resources at The Phoenix,"$682,000 ",Pressley,
Department of Justice,OJP Byrne, IL,Chicago Police Memorial Foundation,Get Behind the Vest,"$1,031,000 ",Quigley,
Department of Justice,OJP Byrne, WA,Turning Pointe Survivor Advocacy Center,Essential domestic violence shelter services for safety and self-sufficiency,"$238,000 ",Randall,
Department of Justice,OJP Byrne, MD,City of Takoma Park,Public Safety Dispatch Center and Crisis Response Upgrades,"$867,000 ",Raskin,
Department of Justice,OJP Byrne,MD,Montgomery County Police Department,Forensic Laboratory Capabilities Enhancement,"$1,031,000 ",Raskin,
Department of Justice,OJP Byrne,MD,Montgomery County Police Department,Real Time Crime Center (RTCC) Enhancement,"$1,031,000 ",Raskin,
Department of Justice,OJP Byrne,MD,"Roca, Inc.",Law Enforcement Training,"$487,000 ",Raskin,
Department of Justice,OJP Byrne,PA,Westmoreland County,Westmoreland County Technology Upgrade,"$643,355 ",Reschenthaler,
Department of Justice,OJP Byrne, KY,"Unlawful Narcotics Investigations, Treatment, and Education Inc.",Operation UNITE Substance Abuse Prevention and Treatment,"$2,000,000 ",Rogers (KY),
Department of Justice,OJP Byrne, NC,North Carolina State Bureau of Investigation,North Carolina Internet Crimes Against Children Task Force Equipment,"$814,000 ",Ross,
Department of Justice,OJP Byrne, NC,Raleigh Boots On The Ground,Raleigh Boots on the Ground Community Violence Intervention,"$295,000 ",Ross,
Department of Justice,OJP Byrne, NC,Town of Wendell Police Department,Wendell Police Department In-Car Camera Project,"$259,000 ",Ross,
Department of Justice,OJP Byrne,NC,"Cumberland County, North Carolina",Mobile Incident Command Post,"$994,593 ",Rouzer,
Department of Justice,OJP Byrne, FL,"Pace Center for Girls, Inc.","Security and Safety Equipment for the Pace Center for Girls in Jacksonville, FL, a Juvenile Justice Prevention and Early Intervention Program","$300,000 ",Rutherford,
Department of Justice,OJP Byrne, FL,City of Jacksonville,City of Jacksonville Marked Patrol Vehicles,"$4,200,000 ",Rutherford,
Department of Justice,OJP Byrne, NY,County of Orange,Orange County Jail Body Cameras,"$785,000 ",Ryan,
Department of Justice,OJP Byrne, NY,Dutchess County Sheriff’s Office,Dutchess County Analysis and Real Time Crime,"$1,031,000 ",Ryan,
Department of Justice,OJP Byrne, NY,Ulster County Sheriff’s Office,Ulster County Sheriff Policing Equipment and Technology Upgrades,"$794,000 ",Ryan,
