Agency,Account,Project Name,State, Recipient,Amount,Requested by,Requested by 2,,,,,,,,,,,,,
Department of Energy,Energy Projects,Generating Renewable Energy from Food Waste, MN, Ramsey/Washington Recycling and Energy,"$5,000,000.00 ",Klobuchar, Smith,,,,,,,,,,,,,
Department of Energy,Energy Projects,Lower Sioux Community Crossroads, MN, Lower Sioux Indian Community,"$900,000.00 ",Klobuchar, Smith,,,,,,,,,,,,,
Army Corps of Engineers ,Mississippi River and Tributaries/Operation and Maintenance,Greenville Harbor, MS, U.S. Army Corps of Engineers,"$1,676,000.00 ",HydeSmith,,,,,,,,,,,,,,
Army Corps of Engineers ,Mississippi River and Tributaries/Operation and Maintenance,Vicksburg Harbor, MS, U.S. Army Corps of Engineers,"$1,387,000.00 ",HydeSmith,,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Rosedale Harbor, MS, U.S. Army Corps of Engineers,"$1,650,000.00 ",HydeSmith,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction/Section 205,Offutt Ditch Pump Station, NE, U.S. Army Corps of Engineers,"$350,000.00 ",Fischer,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Papillion Creek Basin, NE, U.S. Army Corps of Engineers,"$1,215,000.00 ",Fischer,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations/Tribal Partnership Program,Big Elk Park Restoration, NE, U.S. Army Corps of Engineers,"$50,000.00 ",Fischer,,,,,,,,,,,,,,
Bureau of Reclamation,Water and Related Resources,North Platte Project (Fort Laramie Canal Tunnel Restoration Project), NE, Bureau of Reclamation,"$14,625,000.00 ",Fischer,,,,,,,,,,,,,,
Department of Energy,Energy Projects,Bedford Photovoltaic Storage and Electric Vehicle Charging, NH, Town of Bedford,"$250,000.00 ",Shaheen,,,,,,,,,,,,,,
Department of Energy,Energy Projects,Combined Heat and Electricity Cogeneration, NH, Plymouth State University,"$3,000,000.00 ",Shaheen,,,,,,,,,,,,,,
Department of Energy,Energy Projects,Microgrid Resiliency Hub, NH, City of Nashua,"$500,000.00 ",Shaheen,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Lower Saddle River, NJ, U.S. Army Corps of Engineers,"$500,000.00 ",Booker,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Delaware River Dredged Material Utilization, NJ, U.S. Army Corps of Engineers,"$600,000.00 ",Booker,,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Middle Rio Grande Endangered Species Collaborative Program, NM, U.S. Army Corps of Engineers,"$1,959,000.00 ",Heinrich,,,,,,,,,,,,,,
Bureau of Reclamation,Water and Related Resources,Eastern New Mexico Rural Water System, NM, Bureau of Reclamation,"$10,657,000.00 ",Heinrich,,,,,,,,,,,,,,
Bureau of Reclamation,Water and Related Resources,NavajoGallup Water Supply Project, NM, Bureau of Reclamation,"$55,000,000.00 ",Heinrich, Lujan,,,,,,,,,,,,,
Department of Energy,Energy Projects,Clean Energy FrontEnd Engineering Design (FEED) at the Navajo Nation, NM, New Mexico State University,"$500,000.00 ",Heinrich,,,,,,,,,,,,,,
Department of Energy,Energy Projects,ZeroEmission Hydrogen Production by PhotoElectrolysis, NM, New Mexico Institute of Mining and Technology,"$400,000.00 ",Heinrich,,,,,,,,,,,,,,
Department of Energy,Energy Projects,Nuclear Magnetic Resonance Instrument, NV," University of Nevada, Las Vegas","$1,950,000.00 ",Cortez Masto, Rosen,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,New Rochelle, NY, U.S. Army Corps of Engineers,"$1,500,000.00 ",Gillibrand,,,,,,,,,,,,,,
Department of Energy,Energy Projects,Energy Security: High Performance Materials for Nuclear Energy, NY, The Research Foundation of The State University of New YorkStony Brook University,"$4,000,000.00 ",Gillibrand, Schumer,,,,,,,,,,,,,
Department of Energy,Energy Projects,Advanced Grid Scale Energy Storage, OK, University of Tulsa,"$3,200,000.00 ",Mullin,,,,,,,,,,,,,,
Department of Energy,Energy Projects,Extreme Material Advancements, OK, University of Tulsa,"$3,200,000.00 ",Mullin,,,,,,,,,,,,,,
Department of Energy,Energy Projects,Pipeline Systems Durability and Safety for Energy Transportation, OK, University of Tulsa,"$3,200,000.00 ",Mullin,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Hood River Confluence Ecosystem Restoration, OR, U.S. Army Corps of Engineers,"$500,000.00 ",Merkley, Wyden,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Coquille River, OR, U.S. Army Corps of Engineers,"$667,000.00 ",Merkley, Wyden,,,,,,,,,,,,,
Bureau of Reclamation,Water and Related Resources,Scoggins Dam Rehabilitation, OR, Bureau of Reclamation,"$1,000,000.00 ",Merkley, Wyden,,,,,,,,,,,,,
Bureau of Reclamation,Water and Related Resources,Umatilla Project, OR, Bureau of Reclamation,"$1,000,000.00 ",Merkley, Wyden,,,,,,,,,,,,,
Department of Energy,Energy Projects,Accelerating Domestic Energy Dominance, OR, Oregon Institute of Technology,"$1,123,000.00 ",Merkley, Wyden,,,,,,,,,,,,,
Department of Energy,Energy Projects,Ochoco Floating Solar Project, OR, Ochoco Irrigation District,"$1,000,000.00 ",Merkley, Wyden,,,,,,,,,,,,,
Department of Energy,Energy Projects,Pendleton Resource Recovery Facility Generation Upgrades, OR, City of Pendleton,"$1,500,000.00 ",Merkley, Wyden,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Upper Ohio, PA, U.S. Army Corps of Engineers,"$183,829,000.00 ",Fetterman, McCormick,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Whitehall, PA, U.S. Army Corps of Engineers,"$1,000,000.00 ",Fetterman, McCormick,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Point Judith Harbor of Refuge, RI, U.S. Army Corps of Engineers,"$240,000.00 ",Reed, Whitehouse,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Woonsocket, RI, U.S. Army Corps of Engineers,"$240,000.00 ",Reed, Whitehouse,,,,,,,,,,,,,
Department of Energy,Energy Projects,Resilient Recreation Centers, RI, City of Providence,"$1,025,000.00 ",Reed, Whitehouse,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Charleston, SC, U.S. Army Corps of Engineers,"$9,375,000.00 ",Graham,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Lakes Marion and Moultrie, SC, U.S. Army Corps of Engineers,"$22,455,000.00 ",Graham,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Charleston, SC, U.S. Army Corps of Engineers,"$500,000.00 ",Graham,,,,,,,,,,,,,,
Department of Energy,Energy Projects,Advanced Materials for Fusion, SC, Clemson University,"$8,000,000.00 ",Graham,,,,,,,,,,,,,,
Department of Energy,Energy Projects,Battery Recycling Research, SC, University of South Carolina,"$6,000,000.00 ",Graham,,,,,,,,,,,,,,
Department of Energy,Energy Projects,Energy Materials, SC, Clemson University,"$4,000,000.00 ",Graham,,,,,,,,,,,,,,
Department of Energy,Energy Projects,Semiconductor Chips, SC, University of South Carolina,"$4,500,000.00 ",Graham,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations/Tribal Partnership Program,BIA Route 6 at Cherry Creek, SD, U.S. Army Corps of Engineers,"$50,000.00 ",Rounds,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations/Tribal Partnership Program,Big Sioux Ecosystem Restoration & Cultural Resources, SD, U.S. Army Corps of Engineers,"$50,000.00 ",Rounds,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations/Tribal Partnership Program,Little Bend and Counselor Creek Restoration & Resiliency, SD, U.S. Army Corps of Engineers,"$50,000.00 ",Rounds,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations/Tribal Partnership Program,West Bend and Vicinity Restoration & Resiliency, SD, U.S. Army Corps of Engineers,"$50,000.00 ",Rounds,,,,,,,,,,,,,,
Bureau of Reclamation,Water and Related Resources,Water Investment in Northern South Dakota (WINS), SD, Bureau of Reclamation,"$20,300,000.00 ",Rounds,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Atlantic Intracoastal Waterway North Landing Bridge, VA, U.S. Army Corps of Engineers,"$2,000,000.00 ",Kaine, Warner,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,City of Norfolk, VA, U.S. Army Corps of Engineers,"$500,000.00 ",Kaine, Warner,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Gathright Dam and Lake Moomaw, VA, U.S. Army Corps of Engineers,"$230,000.00 ",Kaine, Warner,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Norfolk Harbor, VA, U.S. Army Corps of Engineers,"$5,445,000.00 ",Kaine, Warner,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Winooski River Basin, VT, U.S. Army Corps of Engineers,"$500,000.00 ",Sanders, Welch,,,,,,,,,,,,,
Department of Energy,Energy Projects,Vermont Electric Cooperative Advanced Metering Infrastructure, VT, Vermont Electric Cooperative,"$4,450,000.00 ",Sanders,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Columbia River Fish Mitigation, WA, U.S. Army Corps of Engineers,"$26,730,000.00 ",Cantwell, Murray,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Howard A. Hanson Dam, WA, U.S. Army Corps of Engineers,"$190,000,000.00 ",Cantwell, Murray,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Columbia River Turning Basin Navigation Improvements, WA, U.S. Army Corps of Engineers,"$1,560,000.00 ",Murray,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Seattle Harbor, WA, U.S. Army Corps of Engineers,"$2,330,000.00 ",Cantwell, Murray,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Mount Saint Helens Sediment Control, WA, U.S. Army Corps of Engineers,"$215,000.00 ",Cantwell, Murray,,,,,,,,,,,,,
Bureau of Reclamation,Water and Related Resources,Columbia Basin Project, WA, Bureau of Reclamation,"$7,500,000.00 ",Murray,,,,,,,,,,,,,,
Bureau of Reclamation,Water and Related Resources,Easton Bull Trout Facility, WA, Bureau of Reclamation,"$1,100,000.00 ",Murray,,,,,,,,,,,,,,
Bureau of Reclamation,Water and Related Resources,Nelson Dam, WA, Bureau of Reclamation,"$3,000,000.00 ",Murray,,,,,,,,,,,,,,
Bureau of Reclamation,Water and Related Resources,Wapato Irrigation Project, WA, Bureau of Reclamation,"$1,000,000.00 ",Murray,,,,,,,,,,,,,,
Department of Energy,Energy Projects,CART CoalDerived Building Materials, WV, Center for Applied Research & Technology,"$535,000.00 ",Capito,,,,,,,,,,,,,,
Department of Energy,Energy Projects,Field Investigation of Naturally Occurring Hydrogen Opportunities in West Virginia, WV, West Virginia University,"$233,000.00 ",Capito, Justice,,,,,,,,,,,,,
Department of Energy,Energy Projects,Methane Capture Project, WV, West Virginia Department of Agriculture,"$1,853,000.00 ",Justice,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction/Section 1135,Luxapalila Creek,AL, U.S. Army Corps of Engineers,"$550,000.00 ",Britt, Tuberville,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Tennessee Tombigbee Waterway and Black Warrior and Tombigbee Rivers Deepening Study,AL, U.S. Army Corps of Engineers,"$2,900,000.00 ",Britt, Tuberville,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Mobile Harbor,AL, U.S. Army Corps of Engineers,"$3,254,000.00 ",Britt,,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Mobile Harbor,AL, U.S. Army Corps of Engineers,"$750,000.00 ",Britt,,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Mobile Harbor,AL, U.S. Army Corps of Engineers,"$4,000,000.00 ",Britt,,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Walter F. George Lock and Dam,AL, U.S. Army Corps of Engineers,"$947,000.00 ",Britt,,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,McClellan—Kerr Arkansas River Navigation System,AR, U.S. Army Corps of Engineers,"$3,500,000.00 ",Boozman,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,ATM Agua Fria Trilby Wash,AZ, U.S. Army Corps of Engineers,"$500,000.00 ",Gallego, Kelly,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Hamilton Airfield Wetlands Restoration,CA, U.S. Army Corps of Engineers,"$4,400,000.00 ",Padilla, Schiff,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Marin County,CA, U.S. Army Corps of Engineers,"$2,000,000.00 ",Padilla, Schiff,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Pajaro River at Watsonville,CA, U.S. Army Corps of Engineers,"$54,830,000.00 ",Padilla, Schiff,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Sacramento Area Environmental Infrastructure,CA, U.S. Army Corps of Engineers,"$5,300,000.00 ",Padilla, Schiff,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Santa Rosa,CA, U.S. Army Corps of Engineers,"$2,293,000.00 ",Padilla, Schiff,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,San Luis Rey River,CA, U.S. Army Corps of Engineers,"$26,000,000.00 ",Padilla, Schiff,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,South Perris,CA, U.S. Army Corps of Engineers,"$3,200,000.00 ",Padilla, Schiff,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Tule River,CA, U.S. Army Corps of Engineers,"$14,600,000.00 ",Padilla, Schiff,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Palmer Park Drainage Improvement Project,CO, U.S. Army Corps of Engineers,"$3,375,000.00 ",Hickenlooper,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction/Section 206,Cherry Creek,CO, U.S. Army Corps of Engineers,"$50,000.00 ",Bennet,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Faulkner Island,CT, U.S. Army Corps of Engineers,"$100,000.00 ",Blumenthal, Murphy,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Delaware Coast,DE, U.S. Army Corps of Engineers,"$10,000,000.00 ",Blunt Rochester, Coons,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Delaware Coast Protection,DE, U.S. Army Corps of Engineers,"$600,000.00 ",Blunt Rochester, Coons,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Kent County,DE, U.S. Army Corps of Engineers,"$1,000,000.00 ",Coons,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,New Castle,DE, U.S. Army Corps of Engineers,"$50,000.00 ",Coons,,,,,,,,,,,,,,
