Agency,Account,State,Recipient,Project,Amount,Requested by,Requested by 2
Department of Transportation,Highway Infrastructure Programs,VA,VA,Fall Line Trail Segment 4A,"$1,454,000.00 ",Kaine, Warner
Department of Transportation,Highway Infrastructure Programs,VA,VA,City of Suffolk—Townpoint Sidewalk,"$1,500,000.00 ",Kaine, Warner
Department of Transportation,Highway Infrastructure Programs,VA,VA,Shelton Shop Road Widening and Safety Improvements.,"$1,500,000.00 ",Kaine, Warner
Department of Transportation,Highway Infrastructure Programs,VA,National Park Service,Appalachian National Scenic Trail McAfee Knob Trailhead Parking and Transit Access Improvements.,"$6,304,000.00 ",Kaine, Warner
Department of Transportation,Highway Infrastructure Programs,WA,WA,Ceres Hill Bridge Rehabilitation,"$3,350,000.00 ",Cantwell,
Department of Transportation,Highway Infrastructure Programs,WA,WA,Port Orchard Bay Street Re-Construction.,"$3,554,000.00 ",Cantwell,
Department of Transportation,Highway Infrastructure Programs,WA,The Kalispel Tribe of Indians,Dike Road Emergency Access and Flood Control.,"$717,000.00 ",Cantwell, Murray
Department of Transportation,Highway Infrastructure Programs,WA,WA,Clinton Passenger-Only Ferry Dock Replacement.,"$1,900,000.00 ",Murray,
Department of Transportation,Highway Infrastructure Programs,WA,WA,City of Washougal—Rail Crossing Project.,"$2,000,000.00 ",Murray,
Department of Transportation,Highway Infrastructure Programs,WA,WA,"Columbia Heights Road Safety Improvement Project, Phase II.","$2,000,000.00 ",Murray,
Department of Transportation,Highway Infrastructure Programs,WA,WA,South Royle Road Corridor Improvements Project.,"$2,000,000.00 ",Murray,
Department of Transportation,Highway Infrastructure Programs,WA,WA,Vancouver Heights Infrastructure Phase II.,"$2,000,000.00 ",Murray,
Department of Transportation,Highway Infrastructure Programs,WA,WA,Portland Avenue Freight Improvement Program.,"$2,500,000.00 ",Murray,
Department of Transportation,Highway Infrastructure Programs,WA,WA,Wenatchi Landing Interchange,"$3,000,000.00 ",Murray,
Department of Transportation,Highway Infrastructure Programs,WV,WV,Sutton Elk River Trail Improvements,"$2,240,000.00 ",Capito, Justice
Department of Transportation,Highway Infrastructure Programs,WV,WV,Corridor H Parsons to Davis,"$4,000,000.00 ",Justice,
Department of Transportation,Highway Infrastructure Programs,WV,WV,WV Route 2 Improvements,"$5,000,000.00 ",Justice,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,AL,Alabama Port Authority,Port Railroad Expansion,"$2,000,000.00 ",Britt,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,AR,"Southeast Arkansas Economic Development District, Inc..",Port of Yellow Bend Rail Improvements.,"$5,000,000.00 ",Boozman,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,AR,Port of Fort Smith,Transload Yard,"$8,100,000.00 ",Boozman,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,CA,San Joaquin Regional Rail Commission.,Modesto & Empire Terminal Railroad Positive Train Control Installation.,"$1,934,000.00 ",Padilla,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,CA,San Diego Association of Governments.,Sorrento to Miramar Double Track Project.,"$2,000,000.00 ",Schiff,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,CO,Colorado Department of Transportation.,Fort Collins and Loveland Station Planning Study.,"$900,000.00 ",Bennet, Hickenlooper
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,KS,City of Pittsburg,Rehabilitation of Pittsburg Industrial Park Rail Lines.,"$2,000,000.00 ",Moran,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,LA,Jefferson Parish,Westbank Rail Alignment Project,"$8,000,000.00 ",Cassidy, Kennedy
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,MI,City of Detroit,Michigan Central Intermodal Passenger Station.,"$3,000,000.00 ",Peters, Slotkin
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,MS,City of Brookhaven,Railroad Safety Fencing,"$641,000.00 ",Hyde-Smith,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,MS,Mississippi Department of Transportation.,Tupelo Rail Improvements,"$10,000,000.00 ",Wicker,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,SC,Palmetto Railways,Lowcountry Region Rail Bridge and Track Rehabilitation Program.,"$5,449,000.00 ",Graham,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,WA,Port of Benton,White Bluffs Rail Modernization and Intermodal Facility Project.,"$2,500,000.00 ",Cantwell,
Department of Transportation,Transit Infrastructure Grants,AK,Inter-Island Ferry Authority,Lifesaving Equipment Upgrade,"$1,575,000.00 ",Murkowski,
Department of Transportation,Transit Infrastructure Grants,CA,Peninsula Corridor Joint Powers,Board. South County Service Wi-Fi Project ..,"$1,100,000.00 ",Padilla,
Department of Transportation,Transit Infrastructure Grants,CA,North County Transit District,SPRINTER Platform and Track Enhancement Project.,"$1,200,000.00 ",Padilla,
Department of Transportation,Transit Infrastructure Grants,CO,Colorado Department of Transportation.,Gunnison Valley RTA Bus Expansion Project.,"$1,508,000.00 ",Bennet, Hickenlooper
Department of Transportation,Transit Infrastructure Grants,CT,City of New London,Water Street Garage and Transit Station in New London.,"$3,500,000.00 ",Blumenthal, Murphy
Department of Transportation,Transit Infrastructure Grants,IL,Illinois Department of Transportation,Station Improvements,"$134,000.00 ",Durbin,
Department of Transportation,Transit Infrastructure Grants,IL,Bloomington Normal Public Transit System (dba Connect Transit).,Transportation Center Pedestrian Access Improvements.,"$1,600,000.00 ",Durbin,
Department of Transportation,Transit Infrastructure Grants,IL,Chicago Transit Authority,Track Reconstruction Design,"$2,000,000.00 ",Durbin,
Department of Transportation,Transit Infrastructure Grants,IL,Illinois Department of Transportation,Transit Improvements,"$3,711,000.00 ",Durbin,
Department of Transportation,Transit Infrastructure Grants,MD,Maryland Transit Administration,Southern Maryland Rapid Transit,"$5,000,000.00 ",Alsobrooks, Van Hollen
Department of Transportation,Transit Infrastructure Grants,MI,Interurban Transit Partnership,The Rapid’s Collision Avoidance and Pedestrian Alert System Project.,"$750,000.00 ",Peters,
Department of Transportation,Transit Infrastructure Grants,MI,Regional Transit Authority of Southeast Michigan.,Woodward Avenue Dedicated Transit Lanes.,"$2,600,000.00 ",Peters,
Department of Transportation,Transit Infrastructure Grants,MI,Ann Arbor Area Transportation Authority (AAATA).,Ypsilanti Transit Center Safety and Security Improvements.,"$750,000.00 ",Peters, Slotkin
Department of Transportation,Transit Infrastructure Grants,MS,City of Gulfport,Memorial Hospital Gulfport/Coast Transit Authority Intermodal Center.,"$2,029,000.00 ",Hyde-Smith,
Department of Transportation,Transit Infrastructure Grants,NJ,Borough of Carteret,Carteret Ferry Building Project,"$3,500,000.00 ",Booker, Kim
Department of Transportation,Transit Infrastructure Grants,NV,Regional Transportation Commission of Southern Nevada.,Transit Infrastructure Safety Improvements.,"$3,000,000.00 ",Cortez Masto, Rosen
Department of Transportation,Transit Infrastructure Grants,NY,Town of Ramapo,Town of Ramapo—Ready Transit,"$500,000.00 ",Schumer,
Department of Transportation,Transit Infrastructure Grants,NY,Rockland County,Village of Kaser—Bus Transit,"$1,000,000.00 ",Schumer,
Department of Transportation,Transit Infrastructure Grants,OR,Rogue Valley Transportation District,Zero Emission Paratransit Vehicles and Charging Improvements.,"$2,000,000.00 ",Merkley, Wyden
Department of Transportation,Transit Infrastructure Grants,RI,Rhode Island Public Transit Authority.,Passenger and Operations Technology Improvements.,"$1,000,000.00 ",Reed, Whitehouse
Department of Transportation,Transit Infrastructure Grants,RI,Rhode Island Public Transit Authority.,RIPTA Bus Purchases,"$3,000,000.00 ",Reed, Whitehouse
Department of Transportation,Transit Infrastructure Grants,UT,Utah Transit Authority,Olympics-Ready Light Rail Vehicle Replacement.,"$4,000,000.00 ",Curtis,
Department of Transportation,Transit Infrastructure Grants,WA,Community Transit,Swift Gold Line Bus Rapid Transit Expansion Service between Everett and Arlington.,"$3,000,000.00 ",Murray,
Department of Transportation,Transit Infrastructure Grants,WA,Central Puget Sound Regional Transit Authority.,Link Reliability Improvements,"$4,000,000.00 ",Murray,
Department of Transportation,Transit Infrastructure Grants,WV,West Virginia University Research Corporation.,Personal Rapid Transit Guideway Rehabilitation Project.,"$6,400,000.00 ",Capito, Justice
Department of Transportation,Port Infrastructure Development Program,AK,City of Seldovia,Jakolof Bay Dock Replacement,"$482,000.00 ",Murkowski,
Department of Transportation,Port Infrastructure Development Program,DE,Diamond State Port Corporation,Port Wilmington Dock/Pile Wharf Repairs.,"$2,000,000.00 ",Blunt Rochester, Coons
Department of Transportation,Port Infrastructure Development Program,HI,Hawaii Department of Transportation,Port Improvements to Support Farmers.,"$2,400,000.00 ",Hirono, Schatz
Department of Transportation,Port Infrastructure Development Program,LA,Lake Charles Harbor & Terminal District.,Lake Charles Harbor & Terminal District Improvements.,"$5,000,000.00 ",Cassidy, Kennedy
Department of Transportation,Port Infrastructure Development Program,MI,Port of Monroe,Strategic Cargo Infrastructure Project.,"$3,600,000.00 ",Peters,
Department of Transportation,Port Infrastructure Development Program,WA,The Northwest Seaport Alliance,Terminal 18 Shore Power Expansion,"$8,000,000.00 ",Murray,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Native Village of Unalakleet,Housing for Victims of Violent Crimes.,"$255,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Anchorage Neighborhood Housing Services dba NeighborWorks Alaska.,Fire Alarm System Upgrade,"$287,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Catholic Social Services,Shelter Safety and Accessibility Improvements.,"$320,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Northwest Arctic Borough School,Teacher Housing Renovations,"$330,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Yukon Koyukuk School District,Minto Teacher Housing,"$608,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Fairbanks Youth Advocates,The Door Youth Shelter,"$700,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Anchorage Community Land Trust ....,Nonprofit Hub & Service Center Repairs.,"$750,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Cordova Family Resource Center,Cordova Shelter,"$750,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Helping Ourselves Prevent Emergencies (HOPE).,Building Acquisition,"$900,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Borough of Haines,Early Childhood Education Building,"$1,000,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,City of Saint Paul,Fire Station Renovations,"$1,000,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Fairbanks Neighborhood Housing,Services Inc. Cowles Street Affordable Housing ....,"$1,000,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Sitkans Against Family Violence,Domestic Violence Shelter,"$1,000,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Southeast Alaska Independent Liv-,"ing, Inc.. SE Alaska Disability Resource Center","$1,000,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Native Village of Diomede,Teacher Housing Renovation,"$1,500,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,City of Thorne Bay,Thorne Bay EMS Hall,"$1,574,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Covenant House Alaska,Dena’ina House,"$1,600,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,City of Angoon,Angoon Harbor Access Improvements,"$2,000,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Kake Tribal Corporation,Dock Replacement,"$2,000,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Ketchikan Indian Community,KIC S’eena´a Hit Navigation Center ...,"$2,000,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,North Star Council on Aging,Rehabilitation of MLH Manor,"$2,000,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Petersburg Borough,Banana Point Breakwater Improvements.,"$2,000,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,South Naknek Village Council,Affordable Housing Construction,"$2,000,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Yakutat Borough,Forest Highway Housing Project,"$2,000,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Central Council of the Tlingit & Haida Indian Tribes.,Village Public Safety Officer Quarters Project.,"$2,500,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,City of Nome,Rural Teacher and Police Housing ...,"$4,000,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Denali Commission,Emmonak Women’s Shelter,"$4,000,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Nulato Village,Waterfront Transportation Infrastructure Development.,"$4,000,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AK,Sunshine Station Child Care Center,New Childcare Center,"$4,500,000.00 ",Murkowski,
Department of Housing and Urban Development,Economic Development Initiatives,AL,City of Abbeville,Public Safety Firefighting Equipment,"$1,500,000.00 ",Britt,
Department of Housing and Urban Development,Economic Development Initiatives,AL,University of Alabama in Huntsville,Artificial Intelligence Research Infrastructure.,"$10,000,000.00 ",Britt,
Department of Housing and Urban Development,Economic Development Initiatives,AL,City of Talladega,Accessibility Infrastructure,"$300,000.00 ",Britt,
Department of Housing and Urban Development,Economic Development Initiatives,AR,Southern Arkansas University Tech ..,Technology Innovation Center,"$15,000,000.00 ",Boozman,
Department of Housing and Urban Development,Economic Development Initiatives,AR,University of Arkansas Pulaski Technical College.,Project LIFT,"$20,000,000.00 ",Boozman,
Department of Housing and Urban Development,Economic Development Initiatives,AR,University of Arkansas Division of Agriculture.,"University of Arkansas Food Safety, Science, and Research.","$30,000,000.00 ",Boozman,
Department of Housing and Urban Development,Economic Development Initiatives,AZ,Graham County,Graham County Affordable Housing,"$345,000.00 ",Gallego, Kelly
Department of Housing and Urban Development,Economic Development Initiatives,AZ,City of Avondale,Avondale Heat Mitigation,"$639,000.00 ",Gallego, Kelly
Department of Housing and Urban Development,Economic Development Initiatives,AZ,City of Phoenix,Phoenix Emergency Shelter,"$830,000.00 ",Gallego, Kelly
Department of Housing and Urban Development,Economic Development Initiatives,AZ,Fort Thomas Unified School District 7.,Mt. Turnbull Elementary School Teacher Housing.,"$900,000.00 ",Gallego, Kelly
Department of Housing and Urban Development,Economic Development Initiatives,AZ,City of Phoenix,Veterans Center Renovation Project,"$1,000,000.00 ",Gallego, Kelly
Department of Housing and Urban Development,Economic Development Initiatives,AZ,Dishchii’bikoh Community School,Cibecue Teacher Housing Construction.,"$1,275,000.00 ",Gallego, Kelly
Department of Housing and Urban Development,Economic Development Initiatives,AZ,Apache County,Ganado School Bus Loop Reconstruction.,"$2,155,000.00 ",Gallego, Kelly
Department of Housing and Urban Development,Economic Development Initiatives,AZ,City of Flagstaff,Flagstaff Shelter,"$2,500,000.00 ",Gallego, Kelly
Department of Housing and Urban Development,Economic Development Initiatives,AZ,Arizona Department of Housing,Spanish Trail Village Transitional Housing.,"$3,000,000.00 ",Gallego, Kelly
Department of Housing and Urban Development,Economic Development Initiatives,CA,Los Angeles House of Ruth,Sister Cedars Senior Housing,"$815,000.00 ",Padilla,
Department of Housing and Urban Development,Economic Development Initiatives,CA,City of San Diego,San Diego Homeless Shelter,"$1,000,000.00 ",Padilla,
Department of Housing and Urban Development,Economic Development Initiatives,CA,The People Concern,The Village Renovation Project,"$1,000,000.00 ",Padilla,
Department of Housing and Urban Development,Economic Development Initiatives,CA,City of El Cerrito,Community HousingWorks Development.,"$3,000,000.00 ",Padilla,
Department of Housing and Urban Development,Economic Development Initiatives,CA,County of Del Norte,Veterans Memorial Hall Improvements Project.,"$1,500,000.00 ",Padilla, Schiff
Department of Housing and Urban Development,Economic Development Initiatives,CA,City of Salinas,Salinas Firefighter Training Tower Facility.,"$2,000,000.00 ",Padilla, Schiff
Department of Housing and Urban Development,Economic Development Initiatives,CA,Boys & Girls Clubs of Kern County ..,Life & Workforce Readiness Center ..,"$1,000,000.00 ",Schiff,
Department of Housing and Urban Development,Economic Development Initiatives,CA,Central California Food Bank,Construction of Central California Food Bank’s Volunteer Center.,"$1,000,000.00 ",Schiff,
Department of Housing and Urban Development,Economic Development Initiatives,CA,City of Jurupa Valley,School of Nursing Building,"$1,000,000.00 ",Schiff,
Department of Housing and Urban Development,Economic Development Initiatives,CA,City of Montclair,Community Park,"$1,000,000.00 ",Schiff,
Department of Housing and Urban Development,Economic Development Initiatives,CA,Fresno Housing,Downtown Fresno Affordable Housing Development.,"$1,000,000.00 ",Schiff,
Department of Housing and Urban Development,Economic Development Initiatives,CA,Larkin Street Youth Services,Capital Improvements to Benefit Youth Experiencing Homelessness.,"$1,000,000.00 ",Schiff,
Department of Housing and Urban Development,Economic Development Initiatives,CA,Neighborhood Housing Services of Los Angeles County.,Restore the Legacy LA Coalition,"$1,000,000.00 ",Schiff,
Department of Housing and Urban Development,Economic Development Initiatives,CA,Yosemite Community College District,Construction of a Regional Fire Training Center.,"$1,000,000.00 ",Schiff,
Department of Housing and Urban Development,Economic Development Initiatives,CA,City of Burbank Library,Burbank Central Library,"$1,500,000.00 ",Schiff,
Department of Housing and Urban Development,Economic Development Initiatives,CA,City of Imperial,Community Regional Park Project ....,"$1,500,000.00 ",Schiff,
Department of Housing and Urban Development,Economic Development Initiatives,CA,Merced Community College District .. Project FIRE (First-Responder In-,struction and Regional Education) Training Facility.,"$1,500,000.00 ",Schiff,
Department of Housing and Urban Development,Economic Development Initiatives,CA,County of Los Angeles Department of Parks and Recreation.,Charles White Park Community Resilience Project.,"$1,682,000.00 ",Schiff,
Department of Housing and Urban Development,Economic Development Initiatives,CO,Eagle County Government,Housing Energy Independence Project.,"$585,000.00 ",Bennet,
Department of Housing and Urban Development,Economic Development Initiatives,CO,Weld Food Bank,Food Rescue and Distribution Project,"$400,000.00 ",Bennet, Hickenlooper
Department of Housing and Urban Development,Economic Development Initiatives,CO,"La Puente Home, Inc.",PALs Childcare Facility,"$750,000.00 ",Bennet, Hickenlooper
Department of Housing and Urban Development,Economic Development Initiatives,CO,Food Bank of the Rockies,Food Bank Delivery Vehicles and Equipment.,"$920,000.00 ",Bennet, Hickenlooper
Department of Housing and Urban Development,Economic Development Initiatives,CO,Commu´n Denver Inc.,Loretto Heights Community Center ...,"$1,000,000.00 ",Bennet, Hickenlooper
Department of Housing and Urban Development,Economic Development Initiatives,CO,"TEENS, Inc.",Nederland Early Childhood Education Center.,"$1,000,000.00 ",Bennet, Hickenlooper
Department of Housing and Urban Development,Economic Development Initiatives,CO,We Fortify,Colorado Springs Affordable Housing for Teachers.,"$1,000,000.00 ",Bennet, Hickenlooper
Department of Housing and Urban Development,Economic Development Initiatives,CO,Saguache County,Energy Independence Project,"$1,041,000.00 ",Bennet, Hickenlooper
Department of Housing and Urban Development,Economic Development Initiatives,CO,Northwest Colorado Innovation Center.,Northwest Colorado Innovation Center Building.,"$1,050,000.00 ",Bennet, Hickenlooper
Department of Housing and Urban Development,Economic Development Initiatives,CO,City of Steamboat Springs,Childcare and Workforce Housing Site Work Project.,"$1,300,000.00 ",Bennet, Hickenlooper
Department of Housing and Urban Development,Economic Development Initiatives,CO,Paradox Community Trust,Ouray County Affordable Housing Neighborhood.,"$1,462,000.00 ",Bennet, Hickenlooper
Department of Housing and Urban Development,Economic Development Initiatives,CO,Harrison School District 2,Bricker Community Schoolyard Project.,"$1,500,000.00 ",Bennet, Hickenlooper
Department of Housing and Urban Development,Economic Development Initiatives,CO,CARE Communities,Heartside Hill Early Childhood Education & Community Center.,"$2,000,000.00 ",Bennet, Hickenlooper
Department of Housing and Urban Development,Economic Development Initiatives,CO,City and County of Denver,Shelter and Mental Health Project ...,"$2,000,000.00 ",Bennet, Hickenlooper
Department of Housing and Urban Development,Economic Development Initiatives,CO,Dream Centers of Colorado Springs,Dream Centers Early Care and Education Center.,"$2,000,000.00 ",Bennet, Hickenlooper
Department of Housing and Urban Development,Economic Development Initiatives,CO,La Plata Economic Development Alliance.,Bayfield Early Childcare Center,"$2,000,000.00 ",Bennet, Hickenlooper
Department of Housing and Urban Development,Economic Development Initiatives,CO,Town of Carbondale,Carbondale Affordable Housing,"$2,000,000.00 ",Bennet, Hickenlooper
Department of Housing and Urban Development,Economic Development Initiatives,CO,Town of Fraser,St. Louis Landing Community Housing and Early Childhood Education Center.,"$2,000,000.00 ",Bennet, Hickenlooper
Department of Housing and Urban Development,Economic Development Initiatives,CO,Urban Peak,Housing for Youth Experiencing Homelessness.,"$3,078,000.00 ",Bennet, Hickenlooper
Department of Housing and Urban Development,Economic Development Initiatives,CO,NeighborWorks Southern Colorado ....,Pikes Peak Park Affordable Homeownership Project.,"$3,743,000.00 ",Bennet, Hickenlooper
Department of Housing and Urban Development,Economic Development Initiatives,CO,The Colorado Coalition for the Homeless.,Renaissance at Civic Center Apartments.,"$5,000,000.00 ",Bennet, Hickenlooper
Department of Housing and Urban Development,Economic Development Initiatives,CT,Neighborhood Housing Services of Waterbury dba NEST.,Property Acquisition,"$250,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,American Legion Post 17,Facility Renovations,"$400,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,Thames Valley Council for Community Action Inc..,Expansion of Early Childhood Education Center in New London.,"$450,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,Northeastern Connecticut Community Development Corporation.,Renovations to Senior Low-Income Housing Facility.,"$484,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,"H.O.P.E., Inc.",Affordable Housing Renovations,"$500,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,"Keeping North Stonington Affordable, Inc..",Main Street Housing,"$500,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,"Goshen Housing Trust, Inc.",Accessible Affordable Housing,"$550,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,"Rivera Memorial Foundation, Inc.",Rehabilitation Project,"$600,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,The Housing Collective,Fairfield County Coordinated Access Network Housing Stability Program.,"$600,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,Ledge Light Health District,The Place for CommUNITY Wellbeing,"$675,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,Warren Affordable Housing Corporation.,Affordable Housing,"$800,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,"Mercy Learning Center of Bridgeport, Inc..",HVAC System Replacement,"$877,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,Forge City Works,Culinary Training Center,"$900,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,Hilliard-Jones-Cookson American Legion Post 66.,Building Renovations,"$1,000,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,"St. Vincent de Paul Middletown, Inc.",Construction of St. Vincent’s Commons.,"$1,000,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,Housing Authority of the City of Nor-,walk. Construction of Affordable Housing ..,"$1,020,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,"San Juan Center, Inc.",Construction of El Pocito Dulce Residences.,"$1,050,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,Curtis Home,Campus Renovation,"$1,100,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,"The Cornerstone Foundation, Inc.",Facility Renovations,"$1,332,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,Mercy Housing and Shelter Corporation.,Facility Improvements,"$1,500,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,United Way of Greater New Haven ...,State & Chapel Affordable Housing,"$1,500,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,National Veterans Council for Legal,Redress Inc.. Veterans Living Community Initiative,"$1,862,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,New Britain Museum of American Art.,Facilities Reinvestment,"$2,611,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,Beulah Land Development Corporation.,Dixwell Redevelopment Affordable Housing Initiative.,"$2,638,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,Community Health Resources,Affordable Supportive Housing,"$2,740,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,New Britain Housing Authority,Redevelopment of Public Housing ....,"$4,325,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,CT,HOPE Partnership,Construction of the William F. Palmer Site.,"$1,406,000.00 ",Blumenthal, Murphy
Department of Housing and Urban Development,Economic Development Initiatives,DE,"Capital City Transformation Alliance,",Inc.. Downtown Redevelopment Project ....,"$500,000.00 ",Blunt Rochester,
Department of Housing and Urban Development,Economic Development Initiatives,DE,Children’s Beach House,Capital Improvements,"$500,000.00 ",Blunt Rochester,
Department of Housing and Urban Development,Economic Development Initiatives,DE,Police Athletic League of Wilmington,Wilmington Education Resource Center.,"$3,000,000.00 ",Blunt Rochester, Coons
Department of Housing and Urban Development,Economic Development Initiatives,DE,"Delaware HIV Services, Inc.",Delaware Housing Assistance Program.,"$300,000.00 ",Blunt Rochester, Coons
Department of Housing and Urban Development,Economic Development Initiatives,DE,"St. Anthony’s Housing for the Elderly, Corp..",Capital Improvements,"$600,000.00 ",Blunt Rochester, Coons
Department of Housing and Urban Development,Economic Development Initiatives,DE,"Children And Families First Delaware, Inc..",Seaford House Renovation and Expansion.,"$632,000.00 ",Blunt Rochester, Coons
Department of Housing and Urban Development,Economic Development Initiatives,DE,Habitat for Humanity of New Castle County.,Empowerment through Affordable Housing.,"$1,000,000.00 ",Blunt Rochester, Coons
Department of Housing and Urban Development,Economic Development Initiatives,DE,Latin American Community Center ...,Early Learning Center,"$1,000,000.00 ",Blunt Rochester, Coons
Department of Housing and Urban Development,Economic Development Initiatives,DE,New Castle County,New Castle County Hope Center Capital Improvements.,"$2,000,000.00 ",Blunt Rochester, Coons
Department of Housing and Urban Development,Economic Development Initiatives,DE,Todmorden Foundation,Affordable Housing Development and Preservation.,"$2,000,000.00 ",Blunt Rochester, Coons
Department of Housing and Urban Development,Economic Development Initiatives,DE,"Delaware Affordable Housing Group, Inc..",Affordable Housing Renovation and Development.,"$2,500,000.00 ",Blunt Rochester, Coons
Department of Housing and Urban Development,Economic Development Initiatives,DE,"Interfaith Community Housing of Delaware, Inc..",Affordable Housing Development and Revitalization.,"$2,500,000.00 ",Blunt Rochester, Coons
Department of Housing and Urban Development,Economic Development Initiatives,DE,"West End Neighborhood House, Inc.",Neighborhood and Housing Development.,"$3,000,000.00 ",Blunt Rochester, Coons
Department of Housing and Urban Development,Economic Development Initiatives,DE,REACH Riverside Development Corporation.,Affordable Housing Development,"$5,284,000.00 ",Blunt Rochester, Coons
